2025-09-03 10:07:14.6237436 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8132124 |INFO  | Self-vm load. | E:\src\self-vm\src\addon.cpp:145:void __cdecl svm::Initialize(v8::Local<v8::Object>)
2025-09-03 10:51:59.8297106 |INFO  | IsolateHolder create. | E:\src\self-vm\src\isolate\isolate_holder.cpp:15:__cdecl svm::IsolateHolder::IsolateHolder(IsolateParams &)
2025-09-03 10:51:59.8305382 |DEBUG | Isolate handle create. | E:\src\self-vm\src\module\isolate_handle.cpp:194:__cdecl svm::IsolateHandle::IsolateHandle(IsolateParams &)
2025-09-03 10:51:59.8308782 |INFO  | Inspector agent create. | E:\src\self-vm\src\isolate\inspector_agent.cpp:35:__cdecl svm::InspectorAgent::InspectorAgent(v8::Isolate *, Scheduler *)
2025-09-03 10:51:59.8312637 |DEBUG | Context handle create. | E:\src\self-vm\src\module\context_handle.cpp:159:__cdecl svm::ContextHandle::ContextHandle(IsolateHandle *, v8::Context *)
2025-09-03 10:51:59.8314429 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8315235 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8316054 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8316714 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8317197 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8317883 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8318662 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8319305 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8319770 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8320270 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8320693 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8321098 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8321511 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8321922 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8322338 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8322746 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8323165 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8323758 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8324212 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8324681 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8325169 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8325661 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8326146 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8326675 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8327169 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8327688 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8328196 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8328669 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8329125 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8329605 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
2025-09-03 10:51:59.8330083 |DEBUG | Script handle create. | E:\src\self-vm\src\module\script_handle.cpp:143:__cdecl svm::ScriptHandle::ScriptHandle(IsolateHandle *, ScriptId)
